Domain,Age,Level of Study,Activity Level,Reputation,Accessibility,Moderation,Gender,Country,Recommended chat rooms,SAMPLE NOTTOINCLUDE,Unnamed: 11,Agriculture,Anthro,Business Analytics,CommunicationTechnology,Data Science,Early childhood,Finance,Unnamed: 19,Writing,Food science,Unnamed: 22,Unnamed: 23,Gender studies,Geology ,Health and Wellness,Hostpiatlity Management,Humanities,Information systems,International Business,International relations,Journalism,Legal  studies,Linguistics,Logistics and supply chain,Management,media and communication,Performing arts,public administration,Public health,social work,Sports science ,visual arts,Unnamed: 44,Unnamed: 45,Unnamed: 46,Domain.1
anthropology,23,High School,High,4.1,Medium,Good,Male,Australia,Economic Anthropology, Economic Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
anthropology,21,High School,Low,4.7,Medium,Fair,Male,Australia,Psychological Anthropology, Psychological Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
linguistics,28,High School,Low,3.8,Medium,Fair,Female,US,Forensic Linguistics, Forensic Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
sports science,19,High School,Low,4.3,Easy,Fair,Female,India,Sports Psychology and Mental Skills Training, Sports Psychology and Mental Skills Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
humanities,25,High School,High,3.7,Medium,Fair,Male,Australia,Interdisciplinary Humanities, Interdisciplinary Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
social work,29,College,High,3.6,Easy,Good,Female,US,Community Engagement and Health, Community Engagement and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
linguistics,22,College,High,4.3,Medium,Good,Male,Canada,Sociolinguistic Variation, Sociolinguistic Variation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
anthropology,29,High School,High,3.8,Medium,Fair,Male,US,Ethnography, Ethnography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
international business,27,College,Medium,4.8,Medium,Good,Female,Australia,Global Human Resource Management, Global Human Resource Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
legal studies,26,High School,Low,4.0,Medium,Good,Female,Australia,Legal Theory, Legal Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
health and wellness,25,High School,Low,3.9,Medium,Fair,Female,India,Chronic Disease Management, Chronic Disease Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
education,26,High School,Medium,4.4,Easy,Fair,Male,Australia,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
management,29,High School,Medium,4.5,Medium,Good,Male,Canada,Innovation and Entrepreneurship, Innovation and Entrepreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
sports science,27,College,Medium,4.2,Easy,Good,Male,Australia,Sports Nutrition, Sports Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
social work,27,High School,Low,4.9,Medium,Good,Female,UK,Social Relationships and Well-being, Social Relationships and Well-being,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
logistics and supply chain management,24,High School,Low,5.0,Easy,Fair,Male,US,Strategic Sourcing and Procurement, Strategic Sourcing and Procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
international relations,18,High School,Medium,4.8,Medium,Good,Female,India,Foreign Policy Analysis, Foreign Policy Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
geology,29,High School,Medium,3.7,Medium,Fair,Male,US,Hydrogeology, Hydrogeology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
agriculture,24,High School,Medium,4.3,Medium,Good,Male,Australia,Agricultural Extension and Education, Agricultural Extension and Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
early childhood education,25,College,Low,4.2,Easy,Fair,Female,India,Fine Motor Skills and Handwriting, Fine Motor Skills and Handwriting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
anthropology,19,College,High,4.8,Easy,Fair,Male,India,Physical Anthropology, Physical Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
communications technology,18,College,Medium,4.1,Medium,Fair,Male,Canada,Network Protocols, Network Protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
performing arts,24,High School,Medium,4.9,Easy,Good,Male,India,Media and Cultural Studies, Media and Cultural Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
management,22,College,Low,4.9,Medium,Fair,Male,India,Team Building and Team Management, Team Building and Team Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
logistics and supply chain management,18,High School,Medium,3.9,Medium,Fair,Female,India,Supplier Relationship Management, Supplier Relationship Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
data science,25,College,Low,3.5,Easy,Fair,Male,Canada,Machine Learning, Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
geology,22,High School,High,4.7,Easy,Good,Male,Canada,Stratigraphy, Stratigraphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
finance,19,High School,Low,4.4,Easy,Good,Female,UK,Financial Modeling and Valuation, Financial Modeling and Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
anthropology,19,College,Low,3.6,Easy,Fair,Male,Canada,Medical Anthropology, Medical Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
business analytics,24,College,Low,4.4,Medium,Fair,Female,India,Performance Measurement and Analytics, Performance Measurement and Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
geology,24,High School,Low,4.6,Easy,Good,Male,UK,Engineering Geology, Engineering Geology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
logistics and supply chain management,28,High School,Medium,4.9,Medium,Good,Female,US,Supplier Relationship Management, Supplier Relationship Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
performing arts,28,College,Medium,4.6,Medium,Fair,Male,Australia,Advertising and Public Relations, Advertising and Public Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
logistics and supply chain management,29,High School,Low,4.8,Medium,Good,Female,India,Supply Chain Planning and Management, Supply Chain Planning and Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
logistics and supply chain management,19,High School,High,4.0,Easy,Good,Male,UK,Supply Chain Information Systems, Supply Chain Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
environmental science,23,College,Low,4.5,Easy,Fair,Female,India,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
business analytics,27,High School,Medium,3.9,Easy,Good,Female,Canada,Big Data Analytics, Big Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
health and wellness,18,College,High,4.5,Easy,Fair,Male,UK,Health Coaching, Health Coaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
humanities,19,High School,Medium,4.4,Medium,Good,Female,UK,Film Studies, Film Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
geology,25,College,Low,4.4,Easy,Good,Female,UK,Paleontology, Paleontology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
performing arts,19,High School,High,4.2,Medium,Fair,Female,US,Digital Media, Digital Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
data science,28,High School,Medium,4.9,Medium,Fair,Male,Australia,Text Mining, Text Mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
linguistics,19,High School,Low,4.4,Easy,Fair,Male,UK,Historical Linguistics, Historical Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
linguistics,29,College,Low,4.9,Medium,Good,Male,India,Semantics, Semantics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
environmental science,25,High School,Low,4.7,Medium,Fair,Female,UK,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
media and communication studies,29,High School,Medium,4.7,Medium,Fair,Male,India,Media Studies, Media Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
early childhood education,23,High School,Low,4.1,Easy,Fair,Female,US,Social and Emotional Development, Social and Emotional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
public health,27,College,Low,4.3,Easy,Fair,Female,India,Occupational Health and Safety, Occupational Health and Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
finance,27,High School,High,3.8,Easy,Fair,Female,India,Personal Finance and Financial Literacy, Personal Finance and Financial Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
hospitality management,29,High School,Medium,4.6,Easy,Good,Female,US,Front Office Operations, Front Office Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
sports science,29,High School,Medium,4.9,Medium,Fair,Female,US,Sports Coaching and Athlete Development, Sports Coaching and Athlete Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
social work,28,College,Medium,4.5,Medium,Fair,Male,UK,Social Policy and Health Outcomes, Social Policy and Health Outcomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
hospitality management,25,High School,Medium,4.2,Medium,Fair,Female,Canada,Hospitality Law and Ethics, Hospitality Law and Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
environmental science,29,College,Low,4.0,Easy,Fair,Female,Australia,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
performing arts,22,College,Low,3.5,Easy,Fair,Male,Australia,Media and Politics, Media and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
journalism,24,College,Medium,4.6,Easy,Fair,Female,UK,Investigative Journalism, Investigative Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
sports science,22,High School,High,4.9,Easy,Good,Female,Canada,Performance Analysis in Sports, Performance Analysis in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
health and wellness,26,College,Medium,4.9,Medium,Fair,Male,India,Men's Health, Men's Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
journalism,19,High School,Medium,4.7,Medium,Fair,Female,Canada,Multimedia Journalism, Multimedia Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
agriculture,25,College,High,4.5,Easy,Good,Female,UK,Crop Production and Management, Crop Production and Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
linguistics,19,High School,Medium,4.5,Medium,Good,Female,Canada,Language Documentation and Preservation, Language Documentation and Preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
communications technology,29,College,Medium,4.3,Easy,Fair,Female,US,Wireless Communication, Wireless Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
food science,29,College,Low,4.4,Medium,Good,Female,India,Nutritional Sciences, Nutritional Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
journalism,19,College,High,3.6,Easy,Good,Male,UK,Journalism Ethics and Professional Standards, Journalism Ethics and Professional Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
logistics and supply chain management,21,College,High,3.9,Medium,Good,Female,US,Inventory Management, Inventory Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
visual arts,29,College,Medium,4.5,Easy,Fair,Male,Canada,Art Exhibitions and Curation, Art Exhibitions and Curation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
anthropology,18,High School,High,4.4,Easy,Fair,Female,US,Anthropological Theory, Anthropological Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
environmental science,27,College,Medium,4.7,Easy,Fair,Female,India,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
finance,26,College,Low,3.5,Medium,Fair,Female,Australia,Financial Statement Analysis, Financial Statement Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
logistics and supply chain management,27,High School,High,4.7,Easy,Fair,Female,US,Supply Chain Collaboration and Integration, Supply Chain Collaboration and Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
communications technology,27,College,Low,3.7,Easy,Fair,Male,Canada,Multimedia Communication, Multimedia Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
communications technology,28,High School,Low,4.3,Easy,Fair,Male,US,Network Architecture, Network Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
management,23,High School,High,4.6,Medium,Good,Male,Canada,Decision Making and Problem Solving, Decision Making and Problem Solving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
writing,24,College,Low,4.9,Medium,Good,Female,Canada,Writing for the Web, Writing for the Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
finance,18,High School,High,4.7,Medium,Fair,Male,Australia,Islamic Finance, Islamic Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
early childhood education,28,High School,Low,3.9,Easy,Fair,Female,Australia,Social and Emotional Development, Social and Emotional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
communications technology,29,College,High,4.0,Medium,Fair,Female,US,Mobile Communication, Mobile Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
social work,27,College,Medium,4.6,Easy,Fair,Female,India,Social Engagement and Aging, Social Engagement and Aging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
health and wellness,18,College,Low,4.6,Easy,Good,Female,Canada,Community Health, Community Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
data science,23,College,High,4.3,Medium,Good,Female,Canada,Time Series Analysis, Time Series Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
international business,29,College,High,4.0,Easy,Good,Female,UK,International Business Strategy, International Business Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
information systems,25,High School,High,4.8,Easy,Good,Male,Australia,Systems Analysis and Design, Systems Analysis and Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
gender studies,24,High School,High,4.6,Medium,Fair,Female,UK,Gender and Social Movements, Gender and Social Movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
early childhood education,27,College,Medium,4.1,Medium,Good,Male,India,Music and Movement, Music and Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
logistics and supply chain management,28,High School,Medium,4.7,Medium,Good,Female,Australia,Warehouse and Distribution Management, Warehouse and Distribution Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
public administration,28,College,Low,4.2,Medium,Good,Male,India,Ethics in Public Administration, Ethics in Public Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
international relations,29,College,Medium,4.1,Medium,Fair,Male,Australia,Gender and International Relations, Gender and International Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
humanities,25,High School,High,3.9,Medium,Good,Female,India,Musicology, Musicology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
public health,26,High School,Low,4.0,Easy,Good,Male,US,Maternal and Child Health, Maternal and Child Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
media and communication studies,29,High School,Medium,4.3,Easy,Good,Male,India,Media Effects and Influence, Media Effects and Influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
legal studies,18,High School,Low,4.2,Easy,Good,Female,India,Civil Law, Civil Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
international relations,22,College,Medium,4.0,Easy,Fair,Female,UK,International Law and Norms, International Law and Norms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
data science,29,High School,Medium,4.3,Easy,Fair,Female,Australia,Anomaly Detection, Anomaly Detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
health and wellness,26,High School,High,4.2,Medium,Fair,Male,UK,Chronic Disease Management, Chronic Disease Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
international relations,27,College,Low,3.5,Medium,Fair,Female,Canada,Regional and Area Studies, Regional and Area Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
education,27,High School,High,4.4,Medium,Fair,Male,UK,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
linguistics,18,High School,High,3.6,Easy,Good,Male,Australia,Computational Linguistics, Computational Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
sports science,27,College,Medium,4.1,Medium,Good,Female,US,Performance Analysis in Sports, Performance Analysis in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
food science,19,College,High,3.8,Easy,Fair,Male,Canada,Food Analysis and Testing, Food Analysis and Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
geology,21,High School,High,4.0,Medium,Fair,Male,Australia,Mineralogy, Mineralogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
communications technology,24,High School,High,4.5,Medium,Fair,Male,India,Network Protocols, Network Protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
management,22,High School,Low,4.9,Medium,Good,Female,Canada,Quality Management, Quality Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
management,21,College,High,3.7,Medium,Fair,Male,UK,Innovation and Entrepreneurship, Innovation and Entrepreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
international business,18,High School,Medium,4.1,Medium,Good,Male,Australia,International Negotiations and Diplomacy, International Negotiations and Diplomacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
journalism,29,College,High,4.3,Easy,Fair,Female,Australia,Digital Journalism, Digital Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
health and wellness,26,College,Low,3.7,Medium,Fair,Male,US,Health Coaching, Health Coaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
finance,18,High School,High,3.6,Medium,Fair,Male,India,Risk Management and Insurance, Risk Management and Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
management,22,High School,High,3.8,Easy,Good,Male,Canada,Project Management, Project Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
social work,19,High School,Medium,4.2,Medium,Good,Male,India,Social Stigma and Mental Health, Social Stigma and Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
food science,25,College,High,4.8,Medium,Good,Male,UK,Food Processing and Preservation, Food Processing and Preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
international business,28,College,Low,3.7,Medium,Fair,Female,US,International Trade and Globalization, International Trade and Globalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
early childhood education,19,College,Low,4.9,Medium,Good,Female,Canada,Social Studies and Cultural Awareness, Social Studies and Cultural Awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
international relations,18,High School,Medium,3.6,Easy,Fair,Male,UK,Emerging Issues in International Relations, Emerging Issues in International Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
legal studies,19,College,Medium,4.8,Medium,Fair,Female,UK,Civil Law, Civil Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
writing,28,College,Medium,5.0,Medium,Fair,Female,UK,Writing for Publication, Writing for Publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
hospitality management,29,College,Low,4.6,Easy,Good,Female,UK,Revenue Management, Revenue Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
business analytics,27,High School,Medium,4.8,Easy,Good,Male,UK,Sentiment Analysis, Sentiment Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
logistics and supply chain management,19,High School,Medium,4.2,Medium,Good,Female,Canada,Supply Chain Information Systems, Supply Chain Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
early childhood education,26,College,High,5.0,Easy,Fair,Female,Australia,Sensory Play, Sensory Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
data science,24,College,Medium,4.2,Easy,Good,Female,India,Model Evaluation and Validation, Model Evaluation and Validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
